Organic Chemicals	10	4078989	0.01185624089654731
Chemical Phenomena	12	4330529	0.013401081545568098
Enzymes	11	2745400	0.019377000613050064
Bacteria	10	1252449	0.03861350796806859
Blood Proteins	14	1507024	0.04492698082410743
Europe	13	1300070	0.04835884691758355
Lipids	13	1080916	0.058163517153481496
Amino Acids	10	764582	0.06325211004509322
Digestive System	15	1146586	0.06326797014261566
Case-Control Studies	12	911862	0.06364309733537715
Pharmaceutical Preparations*	10	717538	0.06739910730233131
Risk	15	1058545	0.06853007057030235
Carrier Proteins	15	1052946	0.06889447624800799
Cells, Cultured	27	1498961	0.08711095928211673
Amines	17	928306	0.0885639445709585
Mental Disorders	21	1116958	0.09092466680932404
Drug Therapy	24	1238073	0.09374849268384444
Cohort Studies	35	1735502	0.09753092226929384
Heart Diseases	21	1034087	0.09821129818223959
Health Surveys	11	500559	0.10627624432649085
Nutritional Physiological Phenomena	12	538131	0.10784303045633602
Molecular Structure	36	1607279	0.10832048989384989
Gene Expression Regulation	20	870279	0.11114006539184516
Neurons	12	506224	0.11464029960102526
Socioeconomic Factors	10	408011	0.11852957279346564
Cardiovascular Diseases	54	2184202	0.11956399450732397
Oxidoreductases	16	626209	0.12356618528508329
Diagnosis, Differential	11	425487	0.125027349443623
Gastrointestinal Diseases	23	882861	0.12598959126748832
Sensitivity and Specificity	14	522882	0.129486105450838
Brain	30	1119741	0.1295695474170144
Pregnancy Complications	11	394287	0.13492076061170583
Cell Line	25	882331	0.13702746827330162
Hemodynamics	19	638886	0.1438232853442851
Heart	14	468912	0.14438943530345824
Infant, Newborn	17	565169	0.14546867259909896
Models, Statistical	11	360139	0.14771376925658986
Amides	13	413331	0.15210517083359082
Models, Animal	16	508203	0.1522585042372197
Regression Analysis	12	379719	0.1528331024584668
Infant	35	1062465	0.15931352927164377
United Kingdom	12	343471	0.16896220264105666
Follow-Up Studies	23	589503	0.18868645933801514
Glycosides	12	306828	0.1891404843268694
Magnoliopsida	20	507443	0.19060817766928964
Health Behavior	11	278966	0.1906950888817253
Models, Molecular	10	253435	0.19082327709799515
Research Design	16	399738	0.19357225811685128
Attitude to Health	15	368887	0.19665110299579075
Biological Products	21	512397	0.19820359352432243
Adenocarcinoma	14	341244	0.19840901193116534
Biomarkers	28	646729	0.20937975129173075
Indicators and Reagents	10	230653	0.20967114402788378
Retrospective Studies	30	683351	0.21231292827682152
Nutrition Disorders	14	317269	0.21340209687789743
Liver Diseases	23	507536	0.21915923868722334
Cattle	15	329685	0.2200343116841821
Diabetes Mellitus	18	380730	0.2286409000010336
Animals	1019	21483557	0.2293863815651255
Behavior, Animal	12	247514	0.2344657320385795
Heterocyclic Compounds, 3-Ring	12	246421	0.2355057002440083
Fatty Acids	21	425743	0.23854505269522475
Severity of Illness Index	11	221081	0.2406240076535777
Cell Proliferation	18	355275	0.24502268236045643
Radionuclide Imaging	10	196874	0.24564565361070478
Inflammation	15	294354	0.24644470819898173
Terpenes	16	294140	0.2630656076078208
Apoptosis	13	237761	0.26442381234591633
Body Weight	23	418966	0.26548969853376825
Escherichia coli	15	261624	0.2772756123532203
Hospitalization	12	206047	0.2816517785444606
Child	103	1765449	0.2821509116443158
Coronary Disease	12	204287	0.28407828979445204
Child, Preschool	50	849568	0.28462366243711523
Purines	29	489939	0.2862561035195367
Pregnancy	50	832078	0.29060634900416615
Binding Sites	18	293654	0.2964386048195792
Gastrointestinal Tract	38	607228	0.3026430796413026
Erythrocytes	11	173352	0.3068746249564084
Colorectal Neoplasms	12	179924	0.3225443138281451
Disease Models, Animal	32	470821	0.3286948396097549
Acute Disease	14	202970	0.33357515741879634
Mice	98	1412967	0.3354234370029283
Receptors, Cytoplasmic and Nuclear	10	143458	0.3371101712308569
Fishes	12	169353	0.3426773838558818
Reactive Oxygen Species	12	168758	0.34388557449101387
Neoplasms	218	3036763	0.3471723319923589
Predictive Value of Tests	13	180546	0.3482192142267097
Mice, Inbred C57BL	18	249856	0.3484019999371381
Cell Line, Tumor	41	556340	0.35640389801199407
Oligopeptides	21	284406	0.3570908061850649
Professional-Patient Relations	10	133622	0.3619248786107744
Neoplasm Proteins	30	400844	0.3619465483262172
Transfection	11	145337	0.36602703257281827
Complementary Therapies*	16	207338	0.3731974249290872
Alkaloids	34	436912	0.3763427945281224
Pain	28	357134	0.3791624079210972
Myocardium	14	177628	0.38116570648064513
United States	101	1259764	0.3877318621739259
Communication	22	273417	0.38913046588058037
Obesity	15	184424	0.3933427251289752
Protein-Tyrosine Kinases	16	189816	0.4076472649308124
Phenotype	23	268936	0.4135965766168183
Cognition	12	138884	0.4178549567305973
Quality of Life	14	160961	0.4206339588005275
Prevalence	22	251001	0.42388217512265447
Smoking	12	135582	0.42803143215247497
Polymorphism, Genetic	22	245719	0.4329939513272689
Membrane Transport Proteins	40	444523	0.43517549607766964
Logistic Models	11	121666	0.43723965298781314
Kidney Diseases	43	473349	0.43932480962250403
Algorithms	25	273072	0.442752378069303
Body Mass Index	10	109187	0.44291944219701346
Drug Resistance	27	293670	0.4446336810493384
Genotype	34	368337	0.4464080800397069
Reverse Transcriptase Polymerase Chain Reaction	14	149211	0.4537576285851709
Mice, Inbred BALB C	15	159806	0.4539365114288565
Species Specificity	18	190843	0.4561352649194815
Blotting, Western	15	157657	0.4601240157931172
Arthritis, Rheumatoid	10	105007	0.46055051095733185
Plant Extracts*	14	145283	0.4660257377030541
Structure-Activity Relationship	17	173490	0.47388354262084353
Swine	20	203699	0.47483051600007375
Dosage Forms	28	281578	0.48090293151442765
Urea	11	108933	0.48834741090998457
Mycoses	12	118030	0.49168257208300375
Nanoparticles	10	96877	0.4991999014699674
Calcium	27	258654	0.5048269615798662
Central Nervous System Depressants	24	229013	0.5068143053745973
Surveys and Questionnaires	94	894126	0.508426641532255
Rabbits	35	332271	0.509417610244397
Aging	24	227698	0.509741243180945
Malnutrition	12	113592	0.5108922703470197
Cholesterol	16	150977	0.5125142794802687
Recombinant Proteins	33	310725	0.5136129920901527
Multivariate Analysis	12	112977	0.5136733316710246
Japan	13	120665	0.5210244349774564
Naphthalenes	15	137794	0.5264503942952303
Combined Modality Therapy	26	237035	0.5304673928938201
Benzoates	17	154758	0.5312423167171716
Androstenes	10	91027	0.5312814524608638
Protease Inhibitors	12	108805	0.5333693515571661
Feeding Behavior	17	152937	0.5375677051670139
Guidelines as Topic	16	142905	0.5414634856994949
Prospective Studies	53	470480	0.5447954044678102
Chronic Disease	28	247868	0.5463053732128706
Feces	10	88266	0.5478999858906216
Microbial Sensitivity Tests	13	114085	0.5510749300614428
Prostatic Neoplasms	13	113717	0.5528582499779258
Sodium	13	113518	0.5538274163002648
Beverages*	14	120944	0.5598088658187649
Chromatography, Liquid	46	393397	0.5654905338898382
Membrane Transport Modulators	10	85501	0.5656182083998912
Age Factors	55	468172	0.5681408032935289
Attitude of Health Personnel	17	144140	0.5703757410648793
Ethanolamines	24	203161	0.571305516440368
Potassium	12	100959	0.5748195886046852
Lung Neoplasms	25	208598	0.5795987523263235
Arrhythmias, Cardiac	23	191353	0.5812861112158475
Phenols	31	255206	0.5874471036032839
Oxidation-Reduction	28	228589	0.592380097785997
Minerals	18	146584	0.5938580243428285
Cognition Disorders	10	80485	0.6008683256045462
Asthma	15	119125	0.6089538142967216
In Vitro Techniques	72	567647	0.613413090494768
RNA, Messenger	50	394178	0.6134457702542183
Patient Satisfaction	10	78517	0.6159286794697713
Reaction Time	12	93762	0.6189412205830552
Myocardial Infarction	21	163427	0.6214303847240116
Databases, Factual	15	111712	0.6493624921174014
Antineoplastic Combined Chemotherapy Protocols	17	126573	0.6495372643104648
Chromatography, Gas	12	88844	0.6532026075246667
Solutions	15	110900	0.6541170240296413
Treatment Outcome	118	866016	0.6589542226588723
Comorbidity	13	92939	0.6764572247793174
Heart Failure	15	106934	0.6783768839193086
Acetates	20	141295	0.6845415023016576
Blood Coagulation Disorders	13	91141	0.6898020064403871
Gene Expression Regulation, Enzymologic	11	76476	0.6956030814502172
Kidney	49	332647	0.7123785246494095
Anesthetics	15	101612	0.7139070008946815
Lactones	20	134851	0.7172528112984236
Particle Size	11	73922	0.7196357948144456
Tuberculosis, Pulmonary	11	72802	0.7307066585177571
Models, Biological	113	743472	0.7350432564693874
Breast Neoplasms	40	262626	0.736580596124656
Cell Survival	26	170594	0.7370665549516663
Oxidative Stress	17	111028	0.7404779804630571
Alcoholism	11	71774	0.7411722307219543
Psychotropic Drugs	23	148751	0.7477642151070054
Electrocardiography	30	193875	0.7483363807991836
China	23	147604	0.7535748960102793
Colon	10	63988	0.7557781502228118
Polyethylene Glycols	10	63323	0.7637149904397623
Clinical Competence	13	82163	0.7651761656076841
Diterpenes	19	119590	0.7683423276312955
Drinking	12	75376	0.7699137092949973
Aged, 80 and over	127	794222	0.7733229814466659
Benzazepines	13	81264	0.7736409828461178
Aged	450	2799811	0.7772903903752602
Cyclohexanes	19	118210	0.7773119870718822
Lactation	11	68241	0.77954392983893
Meat	10	61566	0.7855099006709357
Protein Binding	42	252480	0.804489248020055
Stroke	19	113121	0.8122807880319854
Iron	15	89253	0.8127616922705005
Adolescent	314	1858106	0.8172568775181814
Preoperative Care	11	65008	0.8183118777410553
Pyrimidinones	25	145216	0.8325727713457707
Anti-Infective Agents	111	632917	0.8481549227643128
Risk Factors	129	720160	0.8662829504852899
Up-Regulation	22	121720	0.8740913541635094
Drug Evaluation, Preclinical	39	215406	0.8755973734046214
Osteoarthritis	10	54978	0.879635643693183
Insulin	32	175128	0.8836729597881792
Female	1449	7904180	0.8865661880861063
Hemorrhage	56	301726	0.8975807040994079
Reproducibility of Results	66	355592	0.8976155918716328
Cross-Sectional Studies	49	263894	0.8979756777035443
Computer Simulation	38	204628	0.8980821614116696
Fatal Outcome	11	58621	0.9074688147805987
HIV-1	14	73472	0.9215097148129315
Osmolar Concentration	13	66699	0.942577728200746
Serum Albumin	15	76868	0.9437124469150276
Patient Acceptance of Health Care	26	132390	0.9497614561562305
Mass Spectrometry	43	217424	0.9564419852124285
Ischemia	11	55424	0.9598130240878352
Drug Delivery Systems	24	120890	0.9601010110848451
Thrombosis	24	120675	0.9618115559933874
Technology, Pharmaceutical	27	133917	0.9750445626983696
Anti-Inflammatory Agents	29	143800	0.9752944371622018
Stilbenes	10	49481	0.9773551605555052
Self Care	10	49459	0.9777898919249395
Imidazoles	51	250700	0.9838157369874804
Time Factors	228	1119355	0.9850681352894443
Plant Preparations*	40	194158	0.9963275059020187
Patient Compliance	14	67928	0.9967183864984103
Critical Care	11	51762	1.0277154890572082
Psychomotor Performance	22	103394	1.0290175900201801
Colonic Neoplasms	15	69823	1.038929767442588
Indoles	65	297637	1.0561476436306816
Middle Aged	861	3924306	1.061059728890147
Humans	3762	17034839	1.068022464909758
Patient Selection	13	58864	1.0680359206827446
Uracil	15	67241	1.0788232366959827
Cardiovascular Agents	56	249959	1.0834706877332456
Depression	43	190367	1.0923810652778423
Carcinoma, Non-Small-Cell Lung	10	44140	1.095613784341259
Prednisolone	11	48404	1.09901119429952
European Continental Ancestry Group	14	61337	1.1038195454114987
Kidney Failure, Chronic	20	87548	1.1047867606622006
Fabaceae	15	65304	1.1108220210077522
Graft Rejection	13	56380	1.1150908013513374
Sex Factors	56	242782	1.1154995741291691
Cisplatin	11	47624	1.1170107477179687
Anxiety	17	73238	1.1225512321691007
Kinetics	111	469749	1.1427621445580485
Hydrazines	11	46477	1.144576721461084
Triglycerides	17	71750	1.145831133960959
Adult	1553	6523852	1.151242846042139
Drug Evaluation	10	41684	1.160165240604714
Water	38	158041	1.1628152934505291
Practice Guidelines as Topic	25	103524	1.1678697912245233
Antirheumatic Agents	24	98973	1.1727076942536225
Reference Standards	10	41047	1.17816916913388
Biological Transport, Active	10	40936	1.1813637553950584
Dogs	77	314805	1.1828982230976466
Vitamin D	13	53040	1.1853082421332508
Blood Platelets	18	72903	1.1940452992742994
Thrombocytopenia	11	44425	1.19744376851547
Rats	382	1542520	1.1976555545668466
Antiprotozoal Agents	10	40237	1.2018859797854642
Psychotic Disorders	12	47949	1.2102979283739106
Oocytes	11	43614	1.2197096608980456
Drug Hypersensitivity	11	43143	1.2330251450970764
Binding, Competitive	13	50957	1.2337598506807521
Biological Transport	73	284252	1.2419881682818996
Sulfides	11	42684	1.246284101208112
Pharmaceutical Preparations	187	717538	1.2603633065535957
Drug Carriers	20	76513	1.2641212864209819
Statistics, Nonparametric	18	68805	1.2651611559790354
Cyclosporins	10	38213	1.26554372885873
Phenylalanine	17	64398	1.276642955524663
Pilot Projects	28	105961	1.2779313957163987
Creatinine	14	52721	1.2842093106568515
Blood Glucose	40	150417	1.2860558724250424
Animal Feed	12	45007	1.289410452931235
Solvents	14	52086	1.2998652883915471
Proline	10	36942	1.3090839416021305
Oxazines	10	36937	1.3092611417674889
Analgesics	47	173329	1.3113655677416216
Venous Thrombosis	14	51201	1.3223327853687459
Gastrointestinal Agents	13	47436	1.3253353810525488
Substrate Specificity	25	91038	1.3280431478434382
Schizophrenia	27	97391	1.340726319897325
Pulmonary Embolism	10	36062	1.3410278694120707
Isoquinolines	16	57693	1.341185927260582
Internet	19	68418	1.3430016121801585
Male	2180	7799493	1.351729278322983
Atherosclerosis	10	35725	1.353677659256774
Glutathione	15	53434	1.3575789666306965
Adjuvants, Immunologic	10	35456	1.3639475436333448
Quality Control	13	45797	1.3727659389272404
Hydrogen-Ion Concentration	83	289869	1.3847598953090776
Bile Acids and Salts	10	34775	1.390657006401182
Antiparasitic Agents	18	62276	1.3977981999501183
Furans	10	34509	1.4013760664910897
Propanolamines	20	68959	1.4025953612125146
Saliva	11	37843	1.4057086158986436
Malabsorption Syndromes	11	37002	1.4376574023746254
Estrogens	18	60278	1.4441294397434183
Gastrointestinal Absorption	13	42999	1.462091499325343
Sulfones	46	150818	1.4750319591775212
Receptors, Steroid	25	81685	1.480103324150023
Drug Therapy, Combination	92	299415	1.4859783381729403
Gastrointestinal Motility	11	35451	1.5005538999229455
Intestines	115	366164	1.5188702159627117
Taiwan	10	31833	1.5191772336058147
Plants, Medicinal*	18	56753	1.533824549781399
Risk Assessment	73	228901	1.5423144524671466
Epilepsy	33	102784	1.5526867790067107
Estradiol	26	80286	1.566129870863023
Physician-Patient Relations	22	67682	1.5719645068944421
Stomach	39	119895	1.573111725269978
Kidney Transplantation	29	88734	1.580529840067186
Blood Pressure	96	291217	1.594236226209342
Neuroprotective Agents	10	30111	1.6060536681259137
Analysis of Variance	106	318955	1.6072178400119128
Zinc	19	55978	1.6414517462576013
Pyrrolidinones	11	32333	1.6452538151811797
Fluoresceins	10	29353	1.6475263355797338
Testosterone	23	67482	1.6482880507030997
Anticoagulants*	25	73218	1.651261559656903
Pyrroles	49	143465	1.6517592423820056
Cell Membrane Permeability	11	32068	1.6588492581642167
Phenanthrenes	29	84373	1.662221956507476
Edema	14	40484	1.67237454060641
Intestine, Small	54	155335	1.6812074180800365
Drug Design	17	48613	1.6911698213031796
Food	192	545728	1.7014682574106639
Hyperlipidemias	22	62457	1.7034691107646183
Anti-Retroviral Agents	22	61965	1.7169943795006377
Hydrocortisone	25	69723	1.734033046533744
Pyrimidines	126	349772	1.7421434744478692
Gastric Mucosa	17	46929	1.75185445755024
Pyridines	89	245117	1.7559593489095326
Seizures	21	57821	1.756409756056099
Randomized Controlled Trials as Topic	43	117796	1.765362433973805
Safety	26	70782	1.7764133894011207
Pharmacokinetics	105	285642	1.7777282292000114
Hyperglycemia	12	32500	1.7856000020162153
Metabolic Syndrome	10	26881	1.7990286457334836
Biphenyl Compounds	15	39795	1.8228523490278234
Gastric Juice	11	29084	1.8290402908739303
Dermatologic Agents	17	44803	1.8349819144012316
Heart Rate	61	159706	1.8471643518011471
Sex Characteristics	19	49679	1.8495738185135722
Clinical Trials as Topic	120	313116	1.853421745402805
Micronutrients	21	53756	1.8892260526940818
Injections, Intraperitoneal	12	30566	1.898576427700756
Seeds	21	53224	1.9081094394490516
Ileum	16	39803	1.943985048924028
Hepacivirus	12	29794	1.9477692789236116
Sucrose	12	29673	1.9557115881084117
Calibration	14	34542	1.9600522038169967
Vomiting	12	29183	1.988548028561164
Drug Resistance, Neoplasm	17	41071	2.001717220803291
Linear Models	30	72382	2.0043997093768224
Microsomes	25	60100	2.0116756815447125
Nurse's Role	16	38460	2.0118660691966412
Diabetes Mellitus, Type 2	48	113337	2.048166922498333
Monoterpenes	11	25917	2.052536339998004
Gas Chromatography-Mass Spectrometry	19	44480	2.0657545312325323
Diabetes Mellitus, Experimental	17	39751	2.068185995492875
Quinolines	47	109575	2.074350166611806
Tissue Distribution	36	82524	2.109680181721745
Acquired Immunodeficiency Syndrome	33	75120	2.12447798325641
Uric Acid	10	22551	2.1444434220737634
Spectrophotometry, Ultraviolet	25	55778	2.167549080057347
Psoriasis	16	35498	2.1797341020133527
Pharmaceutical Solutions	15	33274	2.180082106143088
Doxorubicin	23	51017	2.1802387887725367
Viscosity	12	26522	2.1880551093590097
Mice, Inbred ICR	13	28509	2.2051888625391007
Taxoids	15	32874	2.2066078199820915
Young Adult	303	655643	2.2349828383308736
Glutathione Transferase	12	25916	2.239216948934252
Diarrhea	23	49389	2.252104120785529
Placebos	16	33882	2.283693323713131
Enzyme Inhibitors	204	430554	2.2914014616343863
Duodenum	21	44079	2.303972888263969
Anti-Bacterial Agents	162	334000	2.3456699425589798
Bipolar Disorder	18	37016	2.3516405569952594
Depressive Disorder	48	98684	2.3522839607044235
Drug Utilization	11	22449	2.369605205348252
Glycine	17	34586	2.3770355825261738
Fatigue	13	26419	2.3796341586294383
Organophosphonates	22	44328	2.4001279911601103
Reference Values	77	153996	2.4181215089935373
Citrates	11	21952	2.4232513487937073
Stereoisomerism	41	81817	2.4234532868548584
Complementary Therapies	104	207338	2.4257832620390665
HEK293 Cells	19	37805	2.430482656291442
Hypolipidemic Agents	26	51282	2.451882084550036
Anaphylaxis	10	19712	2.4532789557453207
HIV Infections	133	261812	2.4567450475197177
Platelet Aggregation	16	31459	2.4595798120588688
Benzodiazepines	32	62610	2.4717184164882213
Hypothyroidism	16	31157	2.4834193750360103
Carbamates	30	57899	2.5057765831402854
Hypertension	124	238598	2.5133485550112664
Sesquiterpenes	18	34387	2.5314260351952287
Dietary Carbohydrates	42	79523	2.5541754668949186
Republic of Korea	11	20633	2.578154350105082
Plant Leaves	31	58082	2.581144447932842
Propranolol	17	31751	2.589270902394582
Foodborne Diseases	10	18440	2.622498132129901
Pyrrolidines	36	64923	2.6816178454283013
Confidence Intervals	18	32446	2.6828575368537466
Antiretroviral Therapy, Highly Active	11	19647	2.707534449311292
Limit of Detection	11	19422	2.7388990815048273
Legislation, Drug	17	29766	2.761935354346517
Analgesics, Non-Narcotic	50	87466	2.7645562357579148
Health Care Surveys	18	31403	2.771961485743648
Dipeptides	14	24138	2.8048420927317004
Rats, Wistar	134	230031	2.817190390605397
Diet	147	248238	2.863828304185605
Piperidines	77	130004	2.864377970235589
Isoenzymes	48	80191	2.8947419027099466
Folic Acid	21	35046	2.897797954594566
Drug Tolerance	13	21625	2.9071457722643927
Mixed Function Oxygenases	90	149650	2.90845629158153
Spectrometry, Mass, Electrospray Ionization	19	31352	2.930718824474668
Random Allocation	57	94004	2.9324023393570853
Administration, Cutaneous	12	19786	2.932924933821651
Hemostatics	10	16479	2.934556313993174
Health Knowledge, Attitudes, Practice	58	95426	2.9393843536601123
ATP-Binding Cassette Transporters	28	45489	2.976745802437921
Antiviral Agents	80	129732	2.982216586657674
Melatonin	11	17776	2.9924979951661284
gamma-Aminobutyric Acid	26	41848	3.004608686993226
Thromboembolism	32	51213	3.0217667390702547
Organophosphates	16	25349	3.052401612914083
Liver	268	420088	3.0852697401347835
Permeability	33	51402	3.1047392288427673
Migraine Disorders	16	24848	3.113943453956779
Depressive Disorder, Major	17	25802	3.1862391850882754
Food Analysis	12	18115	3.2034547176821047
Food Hypersensitivity	12	17985	3.226608788253587
Plants, Toxic	11	16469	3.2299718797855657
Medicine, Traditional	23	34005	3.270935203364032
Warfarin*	12	17682	3.2818970573731274
Plant Roots	36	52889	3.2917632254979585
Bile	17	24830	3.3109632996187335
Alcohol Drinking	43	62336	3.3359705894542935
Milk	51	73824	3.340922303806276
Ascorbic Acid	28	40178	3.3702224184997394
Fatty Acids, Omega-3	15	21521	3.3706083115840193
Dihydropyridines	22	31469	3.380847591996712
Parenteral Nutrition	16	22867	3.3836969077913244
Thyroxine	33	46873	3.4047213931007545
Pyrazines	15	21272	3.4100612081940143
Lithium	15	21271	3.4102215156972195
Dietary Proteins	63	89282	3.4124903368393458
Azepines	10	14066	3.437939010066646
Paclitaxel	17	23833	3.4494641979035316
Single-Blind Method	18	25034	3.4771591171677056
Nursing Assessment	23	31882	3.4887376509612418
Nutritive Value	10	13848	3.4920563256991484
Inpatients	13	17908	3.5105217751404183
Anti-Asthmatic Agents	20	27549	3.5108158297355723
Rats, Sprague-Dawley	208	286340	3.5130105417520934
Tetracycline	14	19247	3.517564592500546
